Running Brodnik (C++) Stack Test...
AC - T5_0_push_then_random | Wall: 0.546992s | CPU User: 0.054787s | CPU Sys: 0.054787s | Heap: 3674128B | Stack: 752B
AC - T5_0_random_then_pop | Wall: 0.405742s | CPU User: 0.068896s | CPU Sys: 0.013779s | Heap: 2473816B | Stack: 752B
AC - T6_0 | Wall: 4.805712s | CPU User: 0.721393s | CPU Sys: 0.233965s | Heap: 24086248B | Stack: 800B
AC - T6_0_push_random_then_pop | Wall: 4.740168s | CPU User: 0.720360s | CPU Sys: 0.237081s | Heap: 32072464B | Stack: 752B
AC - T6_0_push_then_random | Wall: 5.535159s | CPU User: 0.803490s | CPU Sys: 0.278990s | Heap: 36078256B | Stack: 752B
AC - T6_0_random_then_pop | Wall: 4.129524s | CPU User: 0.588651s | CPU Sys: 0.214904s | Heap: 24078232B | Stack: 800B
AC - T7_0 | Wall: 47.594879s | CPU User: 7.317514s | CPU Sys: 2.330612s | Heap: 240147760B | Stack: 752B
AC - T7_0_push_random_then_pop | Wall: 48.142909s | CPU User: 7.062398s | CPU Sys: 2.457753s | Heap: 320115784B | Stack: 800B
AC - T7_0_push_then_random | Wall: 55.093751s | CPU User: 8.359814s | CPU Sys: 2.631419s | Heap: 360060616B | Stack: 800B
AC - T7_0_random_then_pop | Wall: 40.565024s | CPU User: 5.899288s | CPU Sys: 2.207284s | Heap: 240056080B | Stack: 800B
Running Brodnik (C++) Sort Test...
AC - T1_0 | Wall: 0.010859s | CPU User: 0.001413s | CPU Sys: 0.000000s | Heap: 77420B | Stack: 7736B
AC - T2_0 | Wall: 0.011025s | CPU User: 0.001467s | CPU Sys: 0.000000s | Heap: 77980B | Stack: 2984B
AC - T3_0 | Wall: 0.014545s | CPU User: 0.002462s | CPU Sys: 0.000000s | Heap: 82424B | Stack: 1960B
AC - T4_0 | Wall: 0.046309s | CPU User: 0.014660s | CPU Sys: 0.000000s | Heap: 158200B | Stack: 1864B
AC - T5_0 | Wall: 0.376404s | CPU User: 0.124680s | CPU Sys: 0.026717s | Heap: 890360B | Stack: 1456B
AC - T6_0 | Wall: 4.005657s | CPU User: 1.500736s | CPU Sys: 0.210294s | Heap: 8109560B | Stack: 1368B
AC - T7_0 | Wall: 41.303692s | CPU User: 17.748652s | CPU Sys: 1.337227s | Heap: 8109560B | Stack: 1368B
Running STL Vector (C++) Sort Test...
AC - T1_0 | Wall: 0.008991s | CPU User: 0.001449s | CPU Sys: 0.000000s | Heap: 77352B | Stack: 7736B
AC - T2_0 | Wall: 0.008751s | CPU User: 0.001523s | CPU Sys: 0.000000s | Heap: 77712B | Stack: 7736B
AC - T3_0 | Wall: 0.011115s | CPU User: 0.001933s | CPU Sys: 0.000000s | Heap: 81312B | Stack: 2416B
AC - T4_0 | Wall: 0.035897s | CPU User: 0.007254s | CPU Sys: 0.000000s | Heap: 117312B | Stack: 2416B
AC - T5_0 | Wall: 0.427927s | CPU User: 0.053183s | CPU Sys: 0.010637s | Heap: 477312B | Stack: 2416B
AC - T6_0 | Wall: 2.877966s | CPU User: 0.623247s | CPU Sys: 0.057530s | Heap: 4073216B | Stack: 1672B
AC - T7_0 | Wall: 28.105306s | CPU User: 5.867404s | CPU Sys: 1.190335s | Heap: 40073216B | Stack: 1480B
Running Brodnik (C++) Binary Search Test...
AC - T1_0 | Wall: 0.007796s | CPU User: 0.001341s | CPU Sys: 0.000000s | Heap: 77420B | Stack: 7736B
AC - T2_0 | Wall: 0.008199s | CPU User: 0.001392s | CPU Sys: 0.000000s | Heap: 77980B | Stack: 7736B
AC - T3_0 | Wall: 0.010485s | CPU User: 0.001926s | CPU Sys: 0.000000s | Heap: 81916B | Stack: 2984B
AC - T4_0 | Wall: 0.037666s | CPU User: 0.008632s | CPU Sys: 0.000000s | Heap: 119804B | Stack: 2448B
AC - T5_0 | Wall: 0.380674s | CPU User: 0.029082s | CPU Sys: 0.058162s | Heap: 481788B | Stack: 2088B
AC - T6_0 | Wall: 4.261337s | CPU User: 0.893860s | CPU Sys: 0.166300s | Heap: 4091388B | Stack: 752B
AC - T7_0 | Wall: 51.498894s | CPU User: 12.523892s | CPU Sys: 2.126150s | Heap: 40148476B | Stack: 752B
Running STL Vector (C++) Binary Search Test...
AC - T1_0 | Wall: 0.008409s | CPU User: 0.001735s | CPU Sys: 0.000000s | Heap: 77352B | Stack: 7736B
AC - T2_0 | Wall: 0.007962s | CPU User: 0.001395s | CPU Sys: 0.000000s | Heap: 77712B | Stack: 7736B
AC - T3_0 | Wall: 0.010604s | CPU User: 0.001830s | CPU Sys: 0.000000s | Heap: 81312B | Stack: 2432B
AC - T4_0 | Wall: 0.037450s | CPU User: 0.007196s | CPU Sys: 0.000000s | Heap: 117312B | Stack: 2432B
AC - T5_0 | Wall: 0.363743s | CPU User: 0.071442s | CPU Sys: 0.000000s | Heap: 477312B | Stack: 2432B
AC - T6_0 | Wall: 3.960344s | CPU User: 0.630229s | CPU Sys: 0.203898s | Heap: 4073216B | Stack: 760B
AC - T7_0 | Wall: 47.396847s | CPU User: 9.609244s | CPU Sys: 1.986721s | Heap: 40073216B | Stack: 784B
Running Brodnik (C++) Linear Search Test...
AC - T1_0 | Wall: 0.008040s | CPU User: 0.000000s | CPU Sys: 0.001370s | Heap: 77420B | Stack: 7736B
AC - T2_0 | Wall: 0.008187s | CPU User: 0.001459s | CPU Sys: 0.000000s | Heap: 77980B | Stack: 2984B
AC - T3_0 | Wall: 0.019836s | CPU User: 0.011545s | CPU Sys: 0.000000s | Heap: 81916B | Stack: 2432B
Running STL Vector (C++) Linear Search Test...
AC - T1_0 | Wall: 0.008079s | CPU User: 0.001512s | CPU Sys: 0.000000s | Heap: 77352B | Stack: 7736B
AC - T2_0 | Wall: 0.007870s | CPU User: 0.001404s | CPU Sys: 0.000000s | Heap: 77712B | Stack: 7736B
AC - T3_0 | Wall: 0.012344s | CPU User: 0.004509s | CPU Sys: 0.000000s | Heap: 81312B | Stack: 2416B
All tests completed.
