Running Brodnik (C++) Stack Test...
AC - T3_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_random | Wall: 0.100000s | CPU User: 0.100000s | CPU Sys: 0.000000s | Max Memory: 4194304B
AC - T2_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T3_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_then_random | Wall: 1.090000s | CPU User: 1.070000s | CPU Sys: 0.020000s | Max Memory: 10223616B
AC - T9_push_then_random | Wall: 702.090000s | CPU User: 690.500000s | CPU Sys: 11.590000s | Max Memory: 6284812288B
AC - T1_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_random | Wall: 0.660000s | CPU User: 0.650000s | CPU Sys: 0.010000s | Max Memory: 8126464B
AC - T8_push_then_random | Wall: 69.880000s | CPU User: 68.560000s | CPU Sys: 1.320000s | Max Memory: 631640064B
AC - T2_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T7_push_random_then_pop | Wall: 7.200000s | CPU User: 7.070000s | CPU Sys: 0.130000s | Max Memory: 59379712B
AC - T2_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T2_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_random_then_pop | Wall: 0.710000s | CPU User: 0.700000s | CPU Sys: 0.010000s | Max Memory: 9568256B
AC - T8_random_then_pop | Wall: 60.890000s | CPU User: 59.880000s | CPU Sys: 1.010000s | Max Memory: 422354944B
AC - T5_push_random_then_pop | Wall: 0.070000s | CPU User: 0.070000s | CPU Sys: 0.000000s | Max Memory: 4325376B
AC - T8_push_random_then_pop | Wall: 65.150000s | CPU User: 64.040000s | CPU Sys: 1.110000s | Max Memory: 561905664B
AC - T7_random_then_pop | Wall: 6.570000s | CPU User: 6.430000s | CPU Sys: 0.140000s | Max Memory: 45481984B
AC - T5_random_then_pop | Wall: 0.090000s | CPU User: 0.090000s | CPU Sys: 0.000000s | Max Memory: 4194304B
AC - T1_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T9_random_then_pop | Wall: 597.060000s | CPU User: 587.350000s | CPU Sys: 9.710000s | Max Memory: 4191068160B
AC - T1_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T3_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T3_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T9_push_random_then_pop | Wall: 645.660000s | CPU User: 634.990000s | CPU Sys: 10.670000s | Max Memory: 5586989056B
AC - T6_random_then_pop | Wall: 0.940000s | CPU User: 0.930000s | CPU Sys: 0.010000s | Max Memory: 8126464B
AC - T4_push_random_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T4_random_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T4_push_then_pop | Wall: 0.030000s | CPU User: 0.030000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T3_push_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T7_push_then_pop | Wall: 20.020000s | CPU User: 19.750000s | CPU Sys: 0.270000s | Max Memory: 55050240B
AC - T1_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_then_pop | Wall: 2.200000s | CPU User: 2.170000s | CPU Sys: 0.030000s | Max Memory: 12582912B
AC - T2_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_push_then_pop | Wall: 0.340000s | CPU User: 0.340000s | CPU Sys: 0.000000s | Max Memory: 5242880B
AC - T8_push_then_pop | Wall: 162.720000s | CPU User: 160.420000s | CPU Sys: 2.300000s | Max Memory: 479465472B
AC - T9_push_then_pop | Wall: 1017.550000s | CPU User: 1001.780000s | CPU Sys: 15.770000s | Max Memory: 6759034880B
Running STL Stack Vector (C++) Stack Test...
AC - T7_random | Wall: 6.970000s | CPU User: 6.810000s | CPU Sys: 0.160000s | Max Memory: 70729728B
AC - T4_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T5_push_then_random | Wall: 0.070000s | CPU User: 0.070000s | CPU Sys: 0.000000s | Max Memory: 4669440B
