Running Brodnik (C++) Stack Test...
AC - T6_push_then_random | Wall: 1.686172s | CPU User: 1.577804s | CPU Sys: 0.058996s | Max Memory: 67371008B
AC - T8_push_then_random | Wall: 105.665765s | CPU User: 101.381959s | CPU Sys: 3.605872s | Max Memory: 6403522560B
AC - T1_push_then_random | Wall: 0.003588s | CPU User: 0.000000s | CPU Sys: 0.001616s | Max Memory: 2752512B
AC - T4_push_then_random | Wall: 0.046485s | CPU User: 0.024072s | CPU Sys: 0.002093s | Max Memory: 3932160B
AC - T7_random | Wall: 10.748863s | CPU User: 10.255361s | CPU Sys: 0.355065s | Max Memory: 643563520B
AC - T8_push_random_then_pop | Wall: 90.617511s | CPU User: 86.452739s | CPU Sys: 3.241739s | Max Memory: 5336858624B
AC - T2_push_random_then_pop | Wall: 0.028586s | CPU User: 0.002011s | CPU Sys: 0.003017s | Max Memory: 3014656B
AC - T1_push_random_then_pop | Wall: 0.004736s | CPU User: 0.000000s | CPU Sys: 0.003649s | Max Memory: 2490368B
AC - T4_push_random_then_pop | Wall: 0.045591s | CPU User: 0.021161s | CPU Sys: 0.001924s | Max Memory: 3801088B
AC - T5_push_random_then_pop | Wall: 0.152649s | CPU User: 0.109233s | CPU Sys: 0.002004s | Max Memory: 8912896B
AC - T7_push_random_then_pop | Wall: 10.279850s | CPU User: 9.646124s | CPU Sys: 0.406028s | Max Memory: 536739840B
AC - T3_push_random_then_pop | Wall: 0.004158s | CPU User: 0.002267s | CPU Sys: 0.000000s | Max Memory: 3407872B
AC - T6_push_random_then_pop | Wall: 1.348195s | CPU User: 1.257549s | CPU Sys: 0.041989s | Max Memory: 56885248B
AC - T4_push_then_pop | Wall: 0.017027s | CPU User: 0.013631s | CPU Sys: 0.002921s | Max Memory: 3801088B
AC - T3_push_then_pop | Wall: 0.003338s | CPU User: 0.001378s | CPU Sys: 0.001378s | Max Memory: 3538944B
AC - T7_push_then_pop | Wall: 7.453703s | CPU User: 7.275502s | CPU Sys: 0.177011s | Max Memory: 323616768B
AC - T1_push_then_pop | Wall: 0.001817s | CPU User: 0.001346s | CPU Sys: 0.000000s | Max Memory: 2228224B
AC - T6_push_then_pop | Wall: 1.089349s | CPU User: 1.061759s | CPU Sys: 0.026995s | Max Memory: 35651584B
AC - T2_push_then_pop | Wall: 0.004859s | CPU User: 0.000887s | CPU Sys: 0.003549s | Max Memory: 655360B
