Running Brodnik (C++) Stack Test...
AC - T5_push_then_pop | Wall: 0.036847s | CPU User: 0.033414s | CPU Sys: 0.003038s | Max Memory: 2097152B
AC - T4_push_random_then_pop | Wall: 0.004880s | CPU User: 0.003386s | CPU Sys: 0.001128s | Max Memory: 1703936B
AC - T8_push_then_pop | Wall: 20.075507s | CPU User: 19.568458s | CPU Sys: 0.502928s | Max Memory: 402259968B
AC - T6_random | Wall: 0.283589s | CPU User: 0.273666s | CPU Sys: 0.008989s | Max Memory: 9699328B
AC - T8_push_then_random | Wall: 27.848071s | CPU User: 27.043336s | CPU Sys: 0.799857s | Max Memory: 802422784B
AC - T2_random | Wall: 0.001060s | CPU User: 0.000000s | CPU Sys: 0.000632s | Max Memory: 131072B
AC - T4_random_then_pop | Wall: 0.009605s | CPU User: 0.008233s | CPU Sys: 0.001030s | Max Memory: 1703936B
Running STL Stack Deque (C++) Stack Test...
AC - T7_push_random_then_pop | Wall: 7.572923s | CPU User: 7.501107s | CPU Sys: 0.071004s | Max Memory: 73048064B
AC - T7_random | Wall: 8.345343s | CPU User: 8.268979s | CPU Sys: 0.075016s | Max Memory: 87207936B
AC - T2_random_then_pop | Wall: 0.001885s | CPU User: 0.001401s | CPU Sys: 0.000000s | Max Memory: 2621440B
AC - T4_random | Wall: 0.021068s | CPU User: 0.019728s | CPU Sys: 0.000986s | Max Memory: 3538944B
AC - T2_push_random_then_pop | Wall: 0.002312s | CPU User: 0.000000s | CPU Sys: 0.001986s | Max Memory: 2359296B
AC - T5_push_then_random | Wall: 0.137890s | CPU User: 0.133488s | CPU Sys: 0.004014s | Max Memory: 4194304B
AC - T1_random | Wall: 0.001463s | CPU User: 0.000000s | CPU Sys: 0.001145s | Max Memory: 2490368B
AC - T8_random | Wall: 84.081305s | CPU User: 83.310169s | CPU Sys: 0.769054s | Max Memory: 840962048B
AC - T4_push_then_pop | Wall: 0.007741s | CPU User: 0.005188s | CPU Sys: 0.002075s | Max Memory: 3407872B
AC - T7_push_then_random | Wall: 8.871998s | CPU User: 8.788390s | CPU Sys: 0.083010s | Max Memory: 87072768B
AC - T6_push_random_then_pop | Wall: 0.703206s | CPU User: 0.695513s | CPU Sys: 0.006995s | Max Memory: 10354688B
AC - T8_random_then_pop | Wall: 64.052519s | CPU User: 63.508619s | CPU Sys: 0.538055s | Max Memory: 631504896B
AC - T5_push_random_then_pop | Wall: 0.117168s | CPU User: 0.111453s | CPU Sys: 0.005020s | Max Memory: 4194304B
AC - T4_push_then_random | Wall: 0.009815s | CPU User: 0.009409s | CPU Sys: 0.000000s | Max Memory: 3407872B
AC - T3_random | Wall: 0.004175s | CPU User: 0.002809s | CPU Sys: 0.000937s | Max Memory: 3407872B
AC - T8_push_random_then_pop | Wall: 70.691376s | CPU User: 70.059153s | CPU Sys: 0.626038s | Max Memory: 701239296B
AC - T7_random_then_pop | Wall: 6.670733s | CPU User: 6.602598s | CPU Sys: 0.066998s | Max Memory: 66105344B
AC - T3_push_then_pop | Wall: 0.002277s | CPU User: 0.000917s | CPU Sys: 0.000918s | Max Memory: 3276800B
AC - T7_push_then_pop | Wall: 5.723081s | CPU User: 5.681028s | CPU Sys: 0.041004s | Max Memory: 45355008B
AC - T1_push_then_pop | Wall: 0.001702s | CPU User: 0.001228s | CPU Sys: 0.000000s | Max Memory: 2490368B
AC - T5_random | Wall: 0.138290s | CPU User: 0.136910s | CPU Sys: 0.001000s | Max Memory: 4325376B
AC - T6_push_then_pop | Wall: 0.589488s | CPU User: 0.584077s | CPU Sys: 0.005002s | Max Memory: 7602176B
AC - T5_random_then_pop | Wall: 0.107848s | CPU User: 0.102019s | CPU Sys: 0.004953s | Max Memory: 4063232B
AC - T1_push_random_then_pop | Wall: 0.004241s | CPU User: 0.000975s | CPU Sys: 0.002925s | Max Memory: 2228224B
